state,method,weight_factor,minority_threshold,mm_count,target_mm,max_minority_pct,edge_cut_unweighted,avg_polsby_popper,avg_reock,avg_convex_hull_ratio,avg_internal_edges,success,minority_tracts,minority_edges,edge_cut_weighted,mm_avg_polsby_popper,non_mm_avg_polsby_popper,mm_avg_internal_edges,non_mm_avg_internal_edges
AL,baseline,1.0,,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,,,,,,,,
GA,baseline,1.0,,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,,,,,,,,
LA,baseline,1.0,,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,,,,,,,,
MS,baseline,1.0,,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,,,,,,,,
SC,baseline,1.0,,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,,,,,,,,
AL,edge_weighted,1.0,0.4,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,581.0,1268.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.45,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,507.0,1034.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.5,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,439.0,880.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.55,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,391.0,780.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,5.0,0.4,2,2,0.508297658686116,276,0.22788604977679547,0.5950506286428414,0.7625369652204528,585.7142857142857,True,581.0,1268.0,320.0,0.25674570892679266,0.2163421861167966,610.5,575.8
AL,edge_weighted,5.0,0.45,2,2,0.5355647079619904,254,0.24178594260849548,0.5618509626656941,0.7691731035454763,588.8571428571429,True,507.0,1034.0,278.0,0.12612265155099636,0.2880512590314951,617.0,577.6
AL,edge_weighted,5.0,0.5,1,2,0.504271836269277,342,0.14746483191573792,0.51522065813281,0.7020260757058686,576.2857142857143,False,439.0,880.0,402.0,0.08653959107459334,0.15761903872259533,569.0,577.5
AL,edge_weighted,5.0,0.55,1,2,0.5327195611635915,572,0.09811442198084712,0.49021022397117797,0.6296710601416394,543.4285714285714,False,391.0,780.0,656.0,0.057517715651184076,0.10488053970245763,534.0,545.0
AL,edge_weighted,10.0,0.4,0,2,0.4979713695169563,302,0.1937497105129633,0.5580720411452499,0.7466874362168172,582.0,False,581.0,1268.0,446.0,,0.1937497105129633,,582.0
AL,edge_weighted,10.0,0.45,1,2,0.5002229927861833,358,0.1887346567926697,0.542931906175592,0.7243752733956553,574.0,False,507.0,1034.0,466.0,0.21734129684205092,0.18396688345110615,629.0,564.8333333333334
AL,edge_weighted,10.0,0.5,1,2,0.5589297729682139,279,0.20283644552801133,0.5770539495296576,0.756264204542954,585.2857142857143,False,439.0,880.0,288.0,0.17462690639991668,0.20753803538269378,667.0,571.6666666666666
AL,edge_weighted,10.0,0.55,0,2,0.48773618920472817,299,0.19704900611127113,0.5391149073259339,0.7215746259931926,582.4285714285714,False,391.0,780.0,362.0,,0.19704900611127113,,582.4285714285714
AL,edge_weighted,50.0,0.4,2,2,0.5183835476209404,387,0.1636719549324074,0.5619053820091776,0.7163884869402335,569.8571428571429,True,581.0,1268.0,1367.0,0.11206437733722643,0.1843149859704798,582.0,565.0
AL,edge_weighted,50.0,0.45,0,2,0.47685465318926457,433,0.14723721424270292,0.5005721423259153,0.6887321639397481,563.2857142857143,False,507.0,1034.0,1266.0,,0.14723721424270292,,563.2857142857143
AL,edge_weighted,50.0,0.5,1,2,0.5570116916021655,253,0.21821668967204647,0.5810353032323626,0.7723299689245872,589.0,False,439.0,880.0,302.0,0.20076631665812805,0.22112508517436616,668.0,575.8333333333334
AL,edge_weighted,50.0,0.55,1,2,0.50547702491127,293,0.21523373175900856,0.6066310471212873,0.7794108755438799,583.2857142857143,False,391.0,780.0,489.0,0.1603861798696941,0.22437499040722764,580.0,583.8333333333334
AL,edge_weighted,100.0,0.4,1,2,0.5302437074396442,311,0.21754696913628677,0.5797348278037073,0.7393439284853223,580.7142857142857,False,581.0,1268.0,2984.0,0.08254832282158218,0.2400467435220709,596.0,578.1666666666666
AL,edge_weighted,100.0,0.45,2,2,0.5140733494697151,490,0.1302847434778926,0.5075852244577974,0.6865267738500582,555.1428571428571,True,507.0,1034.0,4549.0,0.1396412209045557,0.12654215250722733,586.0,542.8
AL,edge_weighted,100.0,0.5,1,2,0.5570116916021655,253,0.21821668967204647,0.5810353032323626,0.7723299689245872,589.0,False,439.0,880.0,352.0,0.20076631665812805,0.22112508517436616,668.0,575.8333333333334
AL,edge_weighted,100.0,0.55,1,2,0.5194745493550275,344,0.19883342697662876,0.5659033162826553,0.7035212116273072,576.0,False,391.0,780.0,1334.0,0.1174113036299626,0.21240378086773978,659.0,562.1666666666666
GA,edge_weighted,1.0,0.4,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1599.0,3936.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.45,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1425.0,3398.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.5,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1275.0,3000.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.55,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1118.0,2564.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,5.0,0.4,6,5,0.8381016444403808,747,0.2064311233841621,0.5545975423916777,0.7361267268807012,568.5,True,1599.0,3936.0,1587.0,0.2278896425921162,0.19033723397819657,577.0,562.125
GA,edge_weighted,5.0,0.45,5,5,0.7789511998476218,747,0.23179440670323878,0.56897441851467,0.7481921211932656,568.5,True,1425.0,3398.0,1463.0,0.23287259795062268,0.2311954115658033,577.0,563.7777777777778
GA,edge_weighted,5.0,0.5,6,5,0.7847208875116856,760,0.2064864016343706,0.5620501976395822,0.736598339950208,567.5714285714286,True,1275.0,3000.0,1296.0,0.22016746872291468,0.19622560131796257,575.6666666666666,561.5
GA,edge_weighted,5.0,0.55,6,5,0.7905301134604051,659,0.24971984749392306,0.5954076060941516,0.7582139812370562,574.7857142857143,True,1118.0,2564.0,1059.0,0.2336587517211276,0.26176566932351963,568.8333333333334,579.25
GA,edge_weighted,10.0,0.4,6,5,0.7424297987239334,803,0.19299438545039932,0.5472726284136089,0.7270166769689025,564.5,True,1599.0,3936.0,2549.0,0.1695483050347485,0.21057894576213745,539.5,583.25
GA,edge_weighted,10.0,0.45,8,5,0.7274769232380244,805,0.19454022668774873,0.5282009487105205,0.7048125799389255,564.3571428571429,True,1425.0,3398.0,2029.0,0.1869972968014881,0.20459746653609626,574.0,551.5
GA,edge_weighted,10.0,0.5,5,5,0.7468070228537584,737,0.21375517022216786,0.5602270999725071,0.7337261748467797,569.2142857142857,True,1275.0,3000.0,1934.0,0.24023104271810786,0.19904635216886785,546.2,582.0
GA,edge_weighted,10.0,0.55,6,5,0.8221972420103261,812,0.1949260062760982,0.5295206001243303,0.7030225575268515,563.8571428571429,True,1118.0,2564.0,2072.0,0.19919747799685858,0.19172240248552797,567.6666666666666,561.0
GA,edge_weighted,50.0,0.4,7,5,0.7364751892742007,1200,0.11137207939048752,0.49457484650873645,0.623231650414585,536.1428571428571,True,1599.0,3936.0,15067.0,0.10062448937145374,0.1221196694095213,538.5714285714286,533.7142857142857
GA,edge_weighted,50.0,0.45,8,5,0.8026004202329335,998,0.15347348588091503,0.5039146547152671,0.6641443543218715,550.5714285714286,True,1425.0,3398.0,9524.0,0.16130179534808972,0.14303573992468213,552.875,547.5
GA,edge_weighted,50.0,0.5,7,5,0.8132849494565948,922,0.1611732173113383,0.5201498018468959,0.7064527183880119,556.0,True,1275.0,3000.0,9497.0,0.1876991928422627,0.13464724178041393,569.7142857142857,542.2857142857143
GA,edge_weighted,50.0,0.55,5,5,0.8130282779167597,943,0.1594890241148474,0.5253013030107974,0.680615836623848,554.5,True,1118.0,2564.0,7411.0,0.16541041493452857,0.15619936254835784,559.8,551.5555555555555
GA,edge_weighted,100.0,0.4,7,5,0.7154836386785709,930,0.15915486263387574,0.5454864811104001,0.7081613365510447,555.4285714285714,True,1599.0,3936.0,27858.0,0.1468595267643509,0.17145019850340065,558.8571428571429,552.0
GA,edge_weighted,100.0,0.45,7,5,0.7707474577335118,845,0.17971428263220993,0.5493369158178897,0.7188601587849545,561.5,True,1425.0,3398.0,15101.0,0.1964457221795606,0.16298284308485916,564.4285714285714,558.5714285714286
GA,edge_weighted,100.0,0.5,6,5,0.7744178820777132,1445,0.09457919284648873,0.47242015605564885,0.6140162369524863,518.6428571428571,True,1275.0,3000.0,22928.0,0.10614959985940504,0.08590138758680149,527.0,512.375
GA,edge_weighted,100.0,0.55,7,5,0.7994770784303995,1429,0.08051638700999231,0.4838794540003634,0.622539008807505,519.7857142857143,True,1118.0,2564.0,19843.0,0.07231257333112871,0.08872020068885593,521.5714285714286,518.0
LA,edge_weighted,1.0,0.4,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,False,688.0,1456.0,194.0,0.09436626200133867,0.23453621239093198,854.0,643.8
LA,edge_weighted,1.0,0.45,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,False,617.0,1253.0,194.0,0.09436626200133867,0.23453621239093198,854.0,643.8
LA,edge_weighted,1.0,0.5,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,False,530.0,1005.0,194.0,0.09436626200133867,0.23453621239093198,854.0,643.8
LA,edge_weighted,1.0,0.55,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,False,469.0,862.0,194.0,0.09436626200133867,0.23453621239093198,854.0,643.8
LA,edge_weighted,5.0,0.4,2,2,0.5583305004429611,395,0.12229242557930213,0.48859351077330215,0.6315360133394895,645.3333333333334,True,688.0,1456.0,571.0,0.1189803111929624,0.123948482772472,716.5,609.75
LA,edge_weighted,5.0,0.45,2,2,0.568050598936969,355,0.12025016640344464,0.49500803443865365,0.6178480422908893,652.0,True,617.0,1253.0,579.0,0.10299726306539897,0.12887661807246747,712.0,622.0
LA,edge_weighted,5.0,0.5,1,2,0.5932723875462784,271,0.19047390208988005,0.5253205241845517,0.6901176846359779,666.0,False,530.0,1005.0,323.0,0.30506135773055715,0.16755641096174462,909.0,617.4
LA,edge_weighted,5.0,0.55,1,2,0.5885139752811852,237,0.1781353993713113,0.566079375271442,0.7269171345373281,671.6666666666666,False,469.0,862.0,249.0,0.21963417682742822,0.1698356438800879,932.0,619.6
LA,edge_weighted,10.0,0.4,1,2,0.6080912716051768,367,0.15343623390126637,0.49731921962137887,0.6566432829702565,650.0,False,688.0,1456.0,574.0,0.3098597808220196,0.12215152451711572,895.0,601.0
LA,edge_weighted,10.0,0.45,2,2,0.5717851509747122,419,0.11065052260101808,0.4451439740514804,0.578747866313722,641.3333333333334,True,617.0,1253.0,734.0,0.08255825847827361,0.1246966546623903,732.5,595.75
LA,edge_weighted,10.0,0.5,1,2,0.5972522540505942,388,0.10210649012087007,0.45924670048055277,0.6006571774550068,646.5,False,530.0,1005.0,532.0,0.13073153838732782,0.09638148046757852,874.0,601.0
LA,edge_weighted,10.0,0.55,0,2,0.4949057627310833,394,0.14738218012916324,0.47153065496160984,0.6444849849998923,645.5,False,469.0,862.0,457.0,,0.14738218012916324,,645.5
LA,edge_weighted,50.0,0.4,2,2,0.6198626124241117,489,0.08884800098778599,0.4362767861142218,0.5670387856826449,629.6666666666666,True,688.0,1456.0,2547.0,0.11375311557864551,0.07639544369235624,727.0,581.0
LA,edge_weighted,50.0,0.45,1,2,0.6096128734826963,240,0.2041250825268857,0.5526319232765189,0.7222572798761376,671.1666666666666,False,617.0,1253.0,632.0,0.32565704704651804,0.17981868962295922,904.0,624.6
LA,edge_weighted,50.0,0.5,2,2,0.555276446576654,544,0.14363582339221367,0.5006916453788557,0.6631782064024079,620.5,True,530.0,1005.0,2994.0,0.07815832825016836,0.1763745709632363,647.0,607.25
LA,edge_weighted,50.0,0.55,2,2,0.6189776358650501,745,0.052963855986189544,0.4237553237662128,0.5279426945468638,587.0,True,469.0,862.0,1725.0,0.07162697419589878,0.04363229688133492,697.5,531.75
LA,edge_weighted,100.0,0.4,1,2,0.5984092405244301,551,0.11122927404567817,0.46014660012330416,0.5985444517201414,619.3333333333334,False,688.0,1456.0,6590.0,0.3324384229373906,0.06698744426733567,909.0,561.4
LA,edge_weighted,100.0,0.45,1,2,0.582619502991197,261,0.14718115929070588,0.543477375684548,0.6925716548157627,667.6666666666666,False,617.0,1253.0,2043.0,0.20941220601858504,0.13473494994513005,895.0,622.2
LA,edge_weighted,100.0,0.5,1,2,0.5891054994171481,397,0.09285479116156953,0.4765944946443362,0.6025634027169825,645.0,False,530.0,1005.0,2773.0,0.046084676840069734,0.1022088140258695,823.0,609.4
LA,edge_weighted,100.0,0.55,1,2,0.6200288993519539,645,0.058021738904963156,0.4202712759053083,0.5619385825620936,603.6666666666666,False,469.0,862.0,2328.0,0.04826269458738838,0.059973547768478117,784.0,567.6
MS,edge_weighted,1.0,0.4,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,True,471.0,927.0,100.0,0.23307245212770905,0.3350040547011286,612.0,635.0
MS,edge_weighted,1.0,0.45,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,True,410.0,749.0,100.0,0.23307245212770905,0.3350040547011286,612.0,635.0
MS,edge_weighted,1.0,0.5,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,True,361.0,611.0,100.0,0.23307245212770905,0.3350040547011286,612.0,635.0
MS,edge_weighted,1.0,0.55,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,True,306.0,504.0,100.0,0.23307245212770905,0.3350040547011286,612.0,635.0
MS,edge_weighted,5.0,0.4,1,2,0.6007178671255821,241,0.11199958998264488,0.5185419969894781,0.6635731853406734,588.25,False,471.0,927.0,469.0,0.08706322536945794,0.12031171152037386,585.0,589.3333333333334
MS,edge_weighted,5.0,0.45,1,2,0.5589615513314552,201,0.14975947687747693,0.5433118542534582,0.7243698588690578,598.25,False,410.0,749.0,265.0,0.07602723767884444,0.17433688994368776,574.0,606.3333333333334
MS,edge_weighted,5.0,0.5,2,2,0.5448697621132772,116,0.22351377356326482,0.6118462409467205,0.7927277425667353,619.5,True,361.0,611.0,136.0,0.19792030954875034,0.2491072375777793,587.5,651.5
MS,edge_weighted,5.0,0.55,2,2,0.5528964700538577,132,0.22721689740453543,0.6622862385303204,0.8216853530914802,615.5,True,306.0,504.0,152.0,0.187069400932315,0.26736439387675587,602.5,628.5
MS,edge_weighted,10.0,0.4,2,2,0.5262871697618078,142,0.1858646734954995,0.62059400405894,0.7773046583734375,613.0,True,471.0,927.0,295.0,0.13813949188107025,0.2335898551099288,568.5,657.5
MS,edge_weighted,10.0,0.45,1,2,0.5165754068852938,122,0.2351573472797675,0.6136045675438979,0.8235880617088279,618.0,False,410.0,749.0,185.0,0.2359139521101451,0.23490514566964163,601.0,623.6666666666666
MS,edge_weighted,10.0,0.5,2,2,0.554016186345642,131,0.2913880540577634,0.6522214082489344,0.8381632540244113,615.75,True,361.0,611.0,149.0,0.21284019184960573,0.3699359162659212,598.5,633.0
MS,edge_weighted,10.0,0.55,2,2,0.5210141997157082,127,0.24552014814039808,0.6479741196824558,0.8285597377587519,616.75,True,306.0,504.0,127.0,0.19726552559655916,0.29377477068423696,590.5,643.0
MS,edge_weighted,50.0,0.4,1,2,0.6139256476582561,234,0.16975492787281604,0.515919235895694,0.6862930169046852,590.0,False,471.0,927.0,2537.0,0.06225618426652687,0.2055878424082458,558.0,600.6666666666666
MS,edge_weighted,50.0,0.45,2,2,0.524674194119611,125,0.18274736239616596,0.587743934626468,0.7541194358139167,617.25,True,410.0,749.0,223.0,0.16536756100537553,0.20012716378695639,580.5,654.0
MS,edge_weighted,50.0,0.5,1,2,0.5702273006379208,184,0.18246115697676546,0.5548320230948102,0.7156093777973765,602.5,False,361.0,611.0,1066.0,0.09641104892961037,0.21114452632581715,563.0,615.6666666666666
MS,edge_weighted,50.0,0.55,2,2,0.5222167241270051,128,0.2596178959397678,0.6449692696497827,0.8317353145529476,616.5,True,306.0,504.0,128.0,0.21268031455710046,0.3065554773224352,591.5,641.5
MS,edge_weighted,100.0,0.4,2,2,0.5483094558968247,174,0.1975274042560755,0.5339401683289589,0.7628757010221148,605.0,True,471.0,927.0,1164.0,0.1316841383994097,0.26337067011274135,582.5,627.5
MS,edge_weighted,100.0,0.45,2,2,0.5365859592637798,147,0.1774092265952643,0.5807743039130321,0.7500680577045228,611.75,True,410.0,749.0,1434.0,0.14603198611094187,0.20878646707958676,579.5,644.0
MS,edge_weighted,100.0,0.5,2,2,0.5417046151684103,176,0.1557464064614698,0.5316149948930723,0.7097538330535502,604.5,True,361.0,611.0,671.0,0.13203394443785693,0.1794588684850827,572.5,636.5
MS,edge_weighted,100.0,0.55,2,2,0.5329540604351373,155,0.16963292406701605,0.5758665596842556,0.7552930915101397,609.75,True,306.0,504.0,155.0,0.11626692891382856,0.22299891922020354,571.5,648.0
SC,edge_weighted,1.0,0.4,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,False,552.0,1107.0,216.0,,0.23827146876482572,,548.1428571428571
SC,edge_weighted,1.0,0.45,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,False,460.0,844.0,216.0,,0.23827146876482572,,548.1428571428571
SC,edge_weighted,1.0,0.5,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,False,386.0,658.0,216.0,,0.23827146876482572,,548.1428571428571
SC,edge_weighted,1.0,0.55,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,False,307.0,473.0,216.0,,0.23827146876482572,,548.1428571428571
SC,edge_weighted,5.0,0.4,0,3,0.475790791243163,304,0.16427211461191193,0.5290145416095866,0.679056748915418,535.5714285714286,False,552.0,1107.0,488.0,,0.16427211461191193,,535.5714285714286
SC,edge_weighted,5.0,0.45,0,3,0.4885413444931943,441,0.12284830462951078,0.526520055759803,0.6778627416375088,516.0,False,460.0,844.0,569.0,,0.12284830462951078,,516.0
SC,edge_weighted,5.0,0.5,1,3,0.5048039087093389,534,0.1173857749116747,0.44011245777190294,0.6154829117635728,502.7142857142857,False,386.0,658.0,706.0,0.07465746748715102,0.12450715948242864,511.0,501.3333333333333
SC,edge_weighted,5.0,0.55,0,3,0.4850129160096983,281,0.1847317593277123,0.5467190768205322,0.7243335151479141,538.8571428571429,False,307.0,473.0,329.0,,0.1847317593277123,,538.8571428571429
SC,edge_weighted,10.0,0.4,1,3,0.5190376626216245,315,0.15375582854784733,0.4969212540524487,0.6812150261707919,534.0,False,552.0,1107.0,747.0,0.15189347631503475,0.15406622058664945,574.0,527.3333333333334
SC,edge_weighted,10.0,0.45,1,3,0.5352234488175831,446,0.1532727731773382,0.4900277353600405,0.6455970859015315,515.2857142857143,False,460.0,844.0,923.0,0.08595177775748229,0.16449293908064752,580.0,504.5
SC,edge_weighted,10.0,0.5,1,3,0.5413985719251095,309,0.1882949284311528,0.536705361933963,0.7224210467411748,534.8571428571429,False,386.0,658.0,624.0,0.2211201367881091,0.18282406037166007,599.0,524.1666666666666
SC,edge_weighted,10.0,0.55,0,3,0.4708765547752713,358,0.16882532355375734,0.5700036174142163,0.7419508656486526,527.8571428571429,False,307.0,473.0,403.0,,0.16882532355375734,,527.8571428571429
SC,edge_weighted,50.0,0.4,1,3,0.5401686652164883,386,0.17126397713520217,0.5142400918858508,0.6831241969369989,523.8571428571429,False,552.0,1107.0,3179.0,0.09285611942383203,0.18433195342043052,480.0,531.1666666666666
SC,edge_weighted,50.0,0.45,1,3,0.5217063403690795,403,0.1488501799584411,0.5077743507183299,0.6551276695811913,521.4285714285714,False,460.0,844.0,1726.0,0.13335214312744498,0.15143318609694043,547.0,517.1666666666666
SC,edge_weighted,50.0,0.5,1,3,0.5057927530359939,473,0.11824580928442914,0.4890614704854571,0.6427533504259256,511.42857142857144,False,386.0,658.0,1208.0,0.17416459673764728,0.10892601137555946,513.0,511.1666666666667
SC,edge_weighted,50.0,0.55,0,3,0.4930190015504215,312,0.24440612830450759,0.5911608954615384,0.7836452741808264,534.4285714285714,False,307.0,473.0,753.0,,0.24440612830450759,,534.4285714285714
SC,edge_weighted,100.0,0.4,0,3,0.4444190405259433,430,0.15319105424703383,0.4735591158314806,0.6553257592882098,517.5714285714286,False,552.0,1107.0,8449.0,,0.15319105424703383,,517.5714285714286
SC,edge_weighted,100.0,0.45,0,3,0.48855854624948764,507,0.11836624258064694,0.47439706704756246,0.6495980746924281,506.57142857142856,False,460.0,844.0,4665.0,,0.11836624258064694,,506.57142857142856
SC,edge_weighted,100.0,0.5,0,3,0.466446442464329,337,0.15479479574117747,0.49210887253677604,0.6491594123926375,530.8571428571429,False,386.0,658.0,1129.0,,0.15479479574117747,,530.8571428571429
SC,edge_weighted,100.0,0.55,1,3,0.5009678821699153,423,0.14774304434856553,0.5004505245225552,0.6754297814112681,518.5714285714286,False,307.0,473.0,2601.0,0.15466459931035373,0.1465894518549342,526.0,517.3333333333334
